Number,Type,Release date,Source,Short,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/Mh
79,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,SHARK,7/1/2020,Shark,Extreme 2 (4 x RX580),120,550,0.22,4.583333333
80,RIG,3/10/2017,https://arxiv.org/pdf/1907.02434.pdf,MAXIMUS,7/1/2020,Maximus,"""+"" (8 x GTX 1080Ti)",370,2200,0.17,5.945945946
81,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,,7/1/2020,Ethereum,Mining rig (12 x RX570),360,1600,0.23,4.444444444
82,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,,7/1/2020,Ethereum,Mining rig (8 x RX580),240,1000,0.24,4.166666667
83,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,,7/1/2020,Ethereum,Mining rig (8 x RX570),220,950,0.23,4.318181818
84,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,,7/1/2020,Ethereum,Mining rig (6 x RX580),180,900,0.20,5
85,RIG,1/10/2017,https://arxiv.org/pdf/1907.02434.pdf,,7/1/2020,Ethereum,Mining rig (6 x RX560),80,370,0.22,4.625
86,RIG,5/27/2016,https://arxiv.org/pdf/1907.02434.pdf,,7/1/2020,Ethereum,Mining rig ( 8 x GTX1080),310,1100,0.28,3.548387097
87,RIG,12/1/2017,https://arxiv.org/pdf/1907.02434.pdf,ULTRON,7/1/2020,UlTRON,8 x P104,320,1700,0.19,5.3125
88,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,IMPERIUM,7/1/2020,IMPERIUM,"""+"" (8 x RX570/580)",230,1300,0.18,5.652173913
89,RIG,12/1/2017,https://arxiv.org/pdf/1907.02434.pdf,"BITMAIN, G2",7/1/2020,Bitmain,Antminer G2,220,1200,0.18,5.454545455
90,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,THORIUM,,Thorium,6580,160.2,700,0.23,4.369538077
91,RIG,4/18/2017,https://arxiv.org/pdf/1907.02434.pdf,THORIUM,,Thorium,5670,144,750,0.19,5.208333333
92,RIG,8/18/2016,https://arxiv.org/pdf/1907.02434.pdf,ZODIAC,,Zodiac,6-1060,120.78,750,0.16,6.209637357
