Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/MH
20,GPU,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,AMD,Radeon R9 390X,34,275,"0,12","8,208955224"
,,6/1/2015,https://cryptomining24.net/gpu-table-with-hashrate/#nvidia,5/7/2018,,,,,,
21,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/strix-radeon-r7-370-ethereum-mining/,5/7/2018,AMD,Radeon Strix R7 370,12,110,"0,11","9,166666667"
,,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,,
22,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380-ethereum-mining/,5/7/2018,AMD,Radeon R9 380,17,190,"0,09","11,17647059"
,,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,,
23,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-fury-x-ethereum-mining/,5/7/2018,AMD,Radeon R9 Fury X,24,275,"0,09","11,70212766"
,,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,,
24,GPU,6/2/2015,https://en.wikipedia.org/wiki/GeForce_900_series,5/7/2018,NVIDIA,GeForce GTX 980 Ti,24,250,"0,09","10,63829787"
,,6/2/2015,https://cryptomining24.net/gpu-table-with-hashrate/#nvidia,5/7/2018,,,,,,
25,GPU,8/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-nano-ethereum-mining/,5/7/2018,AMD,Radeon R9 Nano,23,175,"0,13","7,608695652"
,,8/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,,
26,GPU,11/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380x-ethereum-mining/,5/7/2018,AMD,Radeon R9 380x,18,200,"0,09","11,11111111"
,,11/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,5/7/2018,,,,,,
27,GPU,5/27/2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1080  ,27,180,"0,15","6,666666667"
,,5/27/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
28,GPU,6/1/2016,https://www.cryptocompare.com/mining/amd/radeon-rx-480-ethereum-mining/,5/7/2018,AMD,Radeon Rx 480,25,150,"0,17",6
,,6/1/2016,https://en.wikipedia.org/wiki/AMD_Radeon_400_series,5/7/2018,,,,,,
29,GPU,6/10/2016,https://www.techradar.com/news/best-mining-gpu,5/7/2018,NVIDIA,GeForce GTX 1070,30,150,"0,20",5
,,6/10/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
30,GPU,8/1/2016,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 460,13,75,"0,17","5,769230769"
,,8/1/2016,https://en.wikipedia.org/wiki/AMD_Radeon_400_series,5/7/2018,,,,,,
31,GPU,8/1/2016,https://www.cryptocompare.com/mining/amd/radeon-rx-470-ethereum-mining/,5/7/2018,AMD,Radeon RX 470 ,24,150,"0,16","6,25"
,,8/1/2016,https://en.wikipedia.org/wiki/AMD_Radeon_400_series,5/7/2018,,,,,,
32,GPU,8/18/2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1060,24,120,"0,20",5
,,8/18/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
33,GPU,10/25/2016,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,Radeon GTX 1050 Ti,15,75,"0,20",5
,,10/25/2016,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
34,GPU,3/10/2017,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1080 Ti,37,250,"0,15","6,756756757"
,,3/10/2017,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
35,GPU,4/6/2017,https://www.techspot.com/article/1438-ethereum-mining-gpu-benchmark/%20&%20,5/7/2018,NVIDIA,GeForce Titan Xp,31,250,"0,12","8,116883117"
,,4/6/2017,http://www.nvidia.de/graphics-cards/geforce/pascal/titan-xp/,5/7/2018,,,,,,
,,4/6/2017,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
36,GPU,4/18/2017,https://www.cryptocompare.com/mining/amd/asus-rog-strix-radeon-rx-570-o4g/,5/7/2018,AMD,Radeon RX 570,22,115,"0,19","5,227272727"
,,4/18/2017,https://en.wikipedia.org/wiki/AMD_Radeon_500_series,5/7/2018,,,,,,
37,GPU,4/18/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 580,30,185,"0,16","6,166666667"
,,4/18/2017,https://en.wikipedia.org/wiki/AMD_Radeon_500_series,5/7/2018,,,,,,
38,GPU,4/20/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX 550,11,50,"0,22","4,545454545"
,,4/20/2017,https://en.wikipedia.org/wiki/AMD_Radeon_500_series,5/7/2018,,,,,,
39,GPU,7/1/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega Frontier Edition,37,300,"0,12","8,108108108"
,,7/1/2017,https://www.theverge.com/circuitbreaker/2017/6/27/15882684/amd-radeon-vega-frontier-edition-gpu-price-now-available,5/7/2018,,,,,,
40,GPU,8/14/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 64,40,295,"0,14","7,375"
,,8/14/2017,https://en.wikipedia.org/wiki/AMD_RX_Vega_series,5/7/2018,,,,,,
41,GPU,8/14/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 64 Liquid,44,345,"0,13","7,840909091"
,,8/14/2017,https://en.wikipedia.org/wiki/AMD_RX_Vega_series,5/7/2018,,,,,,
42,GPU,8/28/2017,https://www.buriedone.com/hashrates.html,5/7/2018,AMD,Radeon RX Vega 56,37,210,"0,18","5,675675676"
,,8/28/2017,https://en.wikipedia.org/wiki/AMD_RX_Vega_series,5/7/2018,,,,,,
43,GPU,11/2/2017,https://www.buriedone.com/hashrates.html,5/7/2018,NVIDIA,GeForce GTX 1070 Ti,32,150,"0,21","4,6875"
,,11/2/2017,https://en.wikipedia.org/wiki/GeForce_10_series,5/7/2018,,,,,,
44,GPU,12/13/2017,https://www.techradar.com/news/nvidias-titan-v-is-a-massively-powerful-gpu-for-cryptocurrency-mining,5/7/2018,NVIDIA,GTX Titan V,77,237,"0,32","3,077922078"
,,12/13/2017,https://www.justcryptonews.com/313/nvidia-titan-v-best-gpu-ethereum-mining-if-you-afford-it-video,5/7/2018,,,,,,
,,,,,,,,,,
,,,,,,,Max value=,,Max value=,
,,,,,,,77,,"0,32","3,077922078"
